,Unnamed: 0,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank,Scenario
36,124,33,5,3,SVC_sigmoid,LC-PFN,23.31509441137314,0.0860956311225891,0.0098413359373807,25,0.1,25,29,32,1.0,1.0,1.0,1.0,Flat
37,125,33,5,3,SVC_sigmoid,MMF4,28.20535703982488,0.0994052941456865,0.0128757592695787,25,0.1,25,29,32,4.0,4.0,4.0,4.0,Flat
38,126,33,5,3,SVC_sigmoid,WBL4,27.7788925949979,0.0983261302113467,0.0126623746475788,25,0.1,25,29,32,2.0,2.0,2.0,2.0,Flat
39,127,33,5,3,SVC_sigmoid,POW4,27.77889266421372,0.0983261303868212,0.012662374681625,25,0.1,25,29,32,3.0,3.0,3.0,3.0,Flat
40,168,49,34,14,BernoulliNB,LC-PFN,0.2867930801585316,0.0039620129391551,1.9133069145027548e-05,25,0.1,25,42,43,1.0,1.0,1.0,1.0,Flat
41,169,49,34,14,BernoulliNB,MMF4,0.5405681855423975,0.0074237277058288,6.409828575546663e-05,25,0.1,25,42,43,2.0,2.0,2.0,2.0,Flat
42,170,49,34,14,BernoulliNB,WBL4,0.5735373616988059,0.0078735086973018,7.171851279202037e-05,25,0.1,25,42,43,3.0,3.0,3.0,3.0,Flat
43,171,49,34,14,BernoulliNB,POW4,0.7225788797067629,0.0100412338377814,0.0001026174245667,25,0.1,25,42,43,4.0,4.0,4.0,4.0,Flat
44,184,52,252,1,SVC_poly,LC-PFN,11.047017574310305,0.0866479203104972,0.0178482998162508,25,0.1,25,45,47,1.0,1.0,1.0,1.0,Flat
45,185,52,252,1,SVC_poly,MMF4,19.143128945975004,0.1311347304350328,0.033025714149674,25,0.1,25,45,47,3.0,3.0,3.0,3.0,Flat
46,186,52,252,1,SVC_poly,WBL4,19.32565878114536,0.1320177601985493,0.0332585135384845,25,0.1,25,45,47,4.0,4.0,4.0,4.0,Flat
47,187,52,252,1,SVC_poly,POW4,16.510001543348125,0.1178963730912139,0.0290965329118931,25,0.1,25,45,47,2.0,2.0,2.0,2.0,Flat
48,204,53,163,2,SVC_rbf,LC-PFN,0.4842320457100868,0.0089372284710407,0.0001041487048496,25,0.1,25,26,52,1.0,1.0,1.0,1.0,Flat
49,205,53,163,2,SVC_rbf,MMF4,1.086315579396978,0.0208976902622032,0.0005889416269487,25,0.1,25,26,52,2.0,2.0,2.0,2.0,Flat
50,206,53,163,2,SVC_rbf,WBL4,2.011018130222841,0.0387661950597227,0.00169638456124,25,0.1,25,26,52,3.0,3.0,4.0,3.3333333333333335,Flat
