Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
WBL4,Flat,0.1,Flat_10%,2661,0.3165202201347403,0.006202045783419744,6.901608948712041e-05
POW4,Flat,0.1,Flat_10%,2661,0.3165199499390584,0.0062020404587302715,6.901592069814706e-05
LC-PFN,Flat,0.1,Flat_10%,2413,1.3654311187565327,0.0242579597979784,0.0006889959913678467
MMF4,Flat,0.1,Flat_10%,2413,1.01969698662942,0.018036970234733486,0.00043389683281043755
WBL4,Flat,0.1,Flat_10%,2413,1.3385273854398332,0.023771367520875802,0.0006930062458630595
POW4,Flat,0.1,Flat_10%,2413,1.3385273854569881,0.023771367521185555,0.0006930062458805727
LC-PFN,Flat,0.1,Flat_10%,1393,0.288735912181437,0.0051756058819592,4.0447637729812413e-05
MMF4,Flat,0.1,Flat_10%,1393,0.14951598448943618,0.0026749048134760505,1.921538289793268e-05
WBL4,Flat,0.1,Flat_10%,1393,0.14951556045892675,0.002674897215753554,1.9215725994275962e-05
POW4,Flat,0.1,Flat_10%,1393,0.14968533854437335,0.0026779395672541072,1.924298314290451e-05
LC-PFN,Flat,0.1,Flat_10%,1718,0.6535220891237259,0.010097022168338299,0.00010639106767484918
MMF4,Flat,0.1,Flat_10%,1718,4.094217767788248e-07,6.368783167509662e-09,4.173184032804779e-17
WBL4,Flat,0.1,Flat_10%,1718,0.0013435956975389818,2.0900677211129388e-05,4.661974961420638e-10
POW4,Flat,0.1,Flat_10%,1718,7.12555639280512e-06,1.1084199662743839e-07,1.2903201016501219e-14
LC-PFN,Flat,0.1,Flat_10%,1731,0.3075340064242482,0.006046075839549303,7.39897441235371e-05
MMF4,Flat,0.1,Flat_10%,1731,0.16461061524763038,0.0032244557969106215,4.1958711636487084e-05
WBL4,Flat,0.1,Flat_10%,1731,0.16460783286427677,0.0032244009999518376,4.195916944192728e-05
POW4,Flat,0.1,Flat_10%,1731,0.16460798273806987,0.0032244039516402512,4.195914514826857e-05
LC-PFN,Flat,0.1,Flat_10%,653,0.004386594446259551,7.975276821525767e-05,6.36604013948272e-09
MMF4,Flat,0.1,Flat_10%,653,1.312506596244785e-05,2.3863752121436814e-07,7.588949201726215e-14
WBL4,Flat,0.1,Flat_10%,653,3.1616514962640576e-09,5.748457265752904e-11,3.3044760936187356e-21
POW4,Flat,0.1,Flat_10%,653,8.837009891127936e-05,1.6067310094429222e-06,3.5242390026764408e-12
LC-PFN,Flat,0.1,Flat_10%,881,1.3594943098723888,0.025340652093291283,0.0006909974035806954
MMF4,Flat,0.1,Flat_10%,881,1.2875234897206684,0.023967300086773915,0.0005938372105753711
WBL4,Flat,0.1,Flat_10%,881,0.6268850866520156,0.011586852249772664,0.00013425537517478827
POW4,Flat,0.1,Flat_10%,881,1.4951159176983295,0.027943542081071988,0.0009028661914655274
LC-PFN,Flat,0.1,Flat_10%,1139,1.7606725916266441,0.01790493354201317,0.0003861010482069105
MMF4,Flat,0.1,Flat_10%,1139,0.5731537991248261,0.005729955238456946,4.605940745929633e-05
WBL4,Flat,0.1,Flat_10%,1139,0.9357752045903596,0.009413600354853347,0.0001249907218231627
POW4,Flat,0.1,Flat_10%,1139,0.5828876843258786,0.00582816927579034,5.687698475281937e-05
LC-PFN,Flat,0.1,Flat_10%,1378,0.25894136633723974,0.004653256386518478,2.669476998562459e-05
MMF4,Flat,0.1,Flat_10%,1378,0.15713922739814964,0.002824587964442951,2.2957200327509485e-05
WBL4,Flat,0.1,Flat_10%,1378,0.15713665514597933,0.0028245418711956662,2.2956841873479795e-05
POW4,Flat,0.1,Flat_10%,1378,0.1571402212354543,0.0028246057198812765,2.2925757554483084e-05
LC-PFN,Flat,0.1,Flat_10%,1839,4.303212836384773,0.05842887610197067,0.004431706853210926
MMF4,Flat,0.1,Flat_10%,1839,5.042604961990647,0.06922518885764904,0.006386056915627735
WBL4,Flat,0.1,Flat_10%,1839,18.42049911135824,0.30082000526215136,0.10392552437357118
POW4,Flat,0.1,Flat_10%,1839,4.618318544800705,0.06325067161311664,0.005592283477257411
LC-PFN,Flat,0.1,Flat_10%,1138,1.7519710585474968,0.017848849296569824,0.0003993357240688056
MMF4,Flat,0.1,Flat_10%,1138,1.1604940101368706,0.011741482404355696,0.000196795056461403
WBL4,Flat,0.1,Flat_10%,1138,0.5862350052130696,0.005870237955704938,6.07333793614037e-05
POW4,Flat,0.1,Flat_10%,1138,1.3203584730342235,0.013416269743498783,0.0002811142222352944
LC-PFN,Flat,0.1,Flat_10%,902,0.1646937569603324,0.0026512916665524244,1.1362801160430536e-05
MMF4,Flat,0.1,Flat_10%,902,0.08401936617792431,0.0013557713519214152,2.3954282601951547e-06
WBL4,Flat,0.1,Flat_10%,902,0.0724620542795283,0.001169168329582685,1.7117590816760574e-06
POW4,Flat,0.1,Flat_10%,902,0.41358912081609944,0.00669955050620612,4.687474319420982e-05
LC-PFN,Flat,0.1,Flat_10%,379,0.10818325681611896,0.0021518217399716377,7.102302788553061e-06
MMF4,Flat,0.1,Flat_10%,379,0.1547342301515776,0.003076833195149953,1.3130227678327598e-05
WBL4,Flat,0.1,Flat_10%,379,0.27866552350829776,0.005531721951397354,3.7694611773022996e-05
POW4,Flat,0.1,Flat_10%,379,0.27866725282988086,0.005531756162265825,3.769499026421758e-05
LC-PFN,Flat,0.1,Flat_10%,418,3.3980339765548706,0.058654576539993286,0.004704313352704048
MMF4,Flat,0.1,Flat_10%,418,4.835572026664861,0.0852996512094705,0.010045356800180875
WBL4,Flat,0.1,Flat_10%,418,4.567431088367583,0.07937785725738662,0.006729767887201177
POW4,Flat,0.1,Flat_10%,418,3.417085633424629,0.05922629438870938,0.005288880972317252
LC-PFN,Flat,0.1,Flat_10%,1556,0.2592271426692605,0.0033416748046875,1.1285792425042018e-05
MMF4,Flat,0.1,Flat_10%,1556,3.528830766625688,0.04367285838866502,0.002095791798543784
WBL4,Flat,0.1,Flat_10%,1556,2.527075811412972,0.033333333321676525,0.0011111111103339908
POW4,Flat,0.1,Flat_10%,1556,2.527075765551949,0.03333333270106446,0.0011111110689598531
LC-PFN,Flat,0.1,Flat_10%,396,0.1643360243178904,0.0032655803952366114,1.3923351616540458e-05
MMF4,Flat,0.1,Flat_10%,396,1.2260602508447838,0.024014153851545872,0.0007617668248199926
WBL4,Flat,0.1,Flat_10%,396,0.32099959978930237,0.006366926654103348,4.4963773402295396e-05
POW4,Flat,0.1,Flat_10%,396,0.3210008525397402,0.006366951413848491,4.4964088689871045e-05
LC-PFN,Flat,0.1,Flat_10%,636,6.798974424600601,0.015355239622294903,0.0003109975950792432
MMF4,Flat,0.1,Flat_10%,636,2.2660018956348433,0.00468923292773727,3.21362472246135e-05
WBL4,Flat,0.1,Flat_10%,636,3.9357108606148614,0.008328147883730364,9.327891017929243e-05
POW4,Flat,0.1,Flat_10%,636,33.649002316677375,0.13487049793545708,0.028494972544616696
LC-PFN,Flat,0.1,Flat_10%,1470,0.002225357820861973,3.3873777283588424e-05,1.978897268273272e-09
MMF4,Flat,0.1,Flat_10%,1470,6.021031066644225e-08,9.165347284542017e-10,8.820042391968192e-19
WBL4,Flat,0.1,Flat_10%,1470,0.0016054124021676601,2.443840662024729e-05,7.037017360334042e-10
POW4,Flat,0.1,Flat_10%,1470,1.1582368928243714e-05,1.763094150219739e-07,3.2478877595876754e-14
LC-PFN,Flat,0.1,Flat_10%,2472,0.5676697939634323,0.009552374482154846,9.144826617557555e-05
MMF4,Flat,0.1,Flat_10%,2472,1.7219637608331177e-05,2.914091968564403e-07,9.303773842468927e-14
