Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
POW4,KDKL,0.1,KDKL_10%,67333,7.548519354807934,0.10975024343920771,0.015934707288403207
LC-PFN,KDKL,0.1,KDKL_10%,90284,2.9937608167529106,0.03584533557295799,0.021206608042120934
MMF4,KDKL,0.1,KDKL_10%,90284,3.1333544338195316,0.03838122606599614,0.02097264174747607
WBL4,KDKL,0.1,KDKL_10%,90284,3.1361230013744654,0.038431475511809074,0.02096955967928782
POW4,KDKL,0.1,KDKL_10%,90284,3.12889906933267,0.03830032822961904,0.020977652781605367
LC-PFN,KDKL,0.1,KDKL_10%,90899,6.403070688247681,0.07667624205350876,0.007776134181767702
MMF4,KDKL,0.1,KDKL_10%,90899,9.68528235364405,0.11170450997820287,0.015490631737322524
WBL4,KDKL,0.1,KDKL_10%,90899,9.343083139214462,0.1081650570667966,0.014569218874691772
POW4,KDKL,0.1,KDKL_10%,90899,9.34308313944335,0.10816505706917089,0.01456921887527917
LC-PFN,KDKL,0.1,KDKL_10%,39712,0.7641039323061705,0.014838345348834991,0.0002995477116201073
MMF4,KDKL,0.1,KDKL_10%,39712,1.0099584985184045,0.019570274423792416,0.0005822096378928641
WBL4,KDKL,0.1,KDKL_10%,39712,1.8300517116401342,0.03508249416395742,0.0014740287340152393
POW4,KDKL,0.1,KDKL_10%,39712,0.39890506269699766,0.007690631366515243,9.137010770793036e-05
LC-PFN,KDKL,0.1,KDKL_10%,49601,12.911742925643921,0.03431011363863945,0.0017902316758409142
MMF4,KDKL,0.1,KDKL_10%,49601,12.429392585549397,0.032651367879801635,0.0016190938744558864
WBL4,KDKL,0.1,KDKL_10%,49601,12.813667483300287,0.03388888889000955,0.0017075102881477899
POW4,KDKL,0.1,KDKL_10%,49601,12.813667613496953,0.033888889311962246,0.0017075103194058706
LC-PFN,KDKL,0.1,KDKL_10%,83101,12.07464188337326,0.07559851557016373,0.009070667438209057
MMF4,KDKL,0.1,KDKL_10%,83101,13.143871013866157,0.08161785064531914,0.010338604719578598
WBL4,KDKL,0.1,KDKL_10%,83101,13.142324125643762,0.08160934374209589,0.01033670210016979
POW4,KDKL,0.1,KDKL_10%,83101,13.038715070749635,0.08103885309712316,0.010209549013151494
LC-PFN,KDKL,0.1,KDKL_10%,77463,0.9342650882899761,0.01401005033403635,0.00026402395451441407
MMF4,KDKL,0.1,KDKL_10%,77463,1.971937775964167,0.029047465399289783,0.0009537987233518701
WBL4,KDKL,0.1,KDKL_10%,77463,2.1735845592195275,0.03194691925637148,0.0011380801104871267
POW4,KDKL,0.1,KDKL_10%,77463,3.034856469815641,0.04702583088608623,0.002628128098609239
LC-PFN,KDKL,0.1,KDKL_10%,53090,7.160565257072449,0.08054634183645248,0.0082332082092762
MMF4,KDKL,0.1,KDKL_10%,53090,19.47910085978868,0.2583554481288529,0.07301143499647991
WBL4,KDKL,0.1,KDKL_10%,53090,3.4964621962124562,0.03696218538714981,0.0018882096388548168
POW4,KDKL,0.1,KDKL_10%,53090,5.072373181015974,0.05639914603997291,0.004849820332906204
LC-PFN,KDKL,0.1,KDKL_10%,100413,6.654514372348785,0.08533644676208496,0.016812747344374657
MMF4,KDKL,0.1,KDKL_10%,100413,9.056821202141533,0.11099195568172471,0.0242327467065462
WBL4,KDKL,0.1,KDKL_10%,100413,7.699079066110179,0.09677707765069819,0.020842502494642152
POW4,KDKL,0.1,KDKL_10%,100413,7.699079082339017,0.09677707782426559,0.02084250254723278
LC-PFN,KDKL,0.1,KDKL_10%,90611,0.1912483130581677,0.003576743882149458,2.3268523364095017e-05
MMF4,KDKL,0.1,KDKL_10%,90611,1.4477934616514703,0.02674871622535505,0.0007344029479075042
WBL4,KDKL,0.1,KDKL_10%,90611,0.18631102947738673,0.003497492616961812,1.5369301140108877e-05
POW4,KDKL,0.1,KDKL_10%,90611,0.1690733750070045,0.003173201906408222,1.309918791964951e-05
LC-PFN,KDKL,0.1,KDKL_10%,42745,0.8343547582626343,0.01520663034170866,0.0003489792288746685
MMF4,KDKL,0.1,KDKL_10%,42745,1.7054438546262307,0.031565147207217974,0.0014836819194030883
WBL4,KDKL,0.1,KDKL_10%,42745,0.6167908479404932,0.01120117978339578,0.00019297559709514542
POW4,KDKL,0.1,KDKL_10%,42745,0.6489427712923522,0.011790039850495015,0.00021382970551576749
LC-PFN,KDKL,0.1,KDKL_10%,46961,5.3208861500024796,0.0747896358370781,0.0068395803682506084
MMF4,KDKL,0.1,KDKL_10%,46961,5.751147871099346,0.0804673391091177,0.007985992630717248
WBL4,KDKL,0.1,KDKL_10%,46961,3.6559516267071426,0.052307692173224785,0.00307928992478065
POW4,KDKL,0.1,KDKL_10%,46961,3.6559516364427433,0.05230769230797563,0.0030792899409761067
LC-PFN,KDKL,0.1,KDKL_10%,9640,0.2810015110298991,0.005173981189727783,7.923381781438366e-05
MMF4,KDKL,0.1,KDKL_10%,9640,0.4906264510253937,0.009024502864297337,0.00010581745686513286
WBL4,KDKL,0.1,KDKL_10%,9640,0.34326076334113736,0.00631868144864467,8.02620462664863e-05
POW4,KDKL,0.1,KDKL_10%,9640,0.3432607562820621,0.0063186813187574575,8.026204564702411e-05
LC-PFN,KDKL,0.1,KDKL_10%,44409,3.642268106341362,0.04069586843252182,0.0026982701383531094
MMF4,KDKL,0.1,KDKL_10%,44409,9.63859005277673,0.10223210963489014,0.01173618002064652
WBL4,KDKL,0.1,KDKL_10%,44409,9.747966475995643,0.10327739890313543,0.011950996973595286
POW4,KDKL,0.1,KDKL_10%,44409,5.104426730678444,0.056852727575146284,0.00410844250699883
LC-PFN,KDKL,0.1,KDKL_10%,37057,0.46176775358617306,0.008257156237959862,8.904014248400927e-05
MMF4,KDKL,0.1,KDKL_10%,37057,0.45212517156636645,0.008043957903650286,8.310288845795505e-05
WBL4,KDKL,0.1,KDKL_10%,37057,0.3757122922759183,0.006695804292428553,8.248386354608372e-05
POW4,KDKL,0.1,KDKL_10%,37057,0.3757122723538934,0.006695803935200548,8.2483858637364e-05
LC-PFN,KDKL,0.1,KDKL_10%,14681,0.0001812015284485824,3.108611508650938e-06,1.1018149066732708e-11
MMF4,KDKL,0.1,KDKL_10%,14681,1.1218189516537384e-06,1.924542710666307e-08,4.1466302505703757e-16
WBL4,KDKL,0.1,KDKL_10%,14681,0.002281457668636879,3.914068015555315e-05,1.726538113110871e-09
POW4,KDKL,0.1,KDKL_10%,14681,6.274979830621083e-05,1.0765086035838896e-06,1.6343115913257764e-12
LC-PFN,KDKL,0.1,KDKL_10%,80900,1.4439345337450504,0.02061459608376026,0.0005265711806714535
MMF4,KDKL,0.1,KDKL_10%,80900,1.6427348034233753,0.023422067673117872,0.0005837137922318508
WBL4,KDKL,0.1,KDKL_10%,80900,1.6379956333798475,0.02335329798172206,0.0005804916772185481
POW4,KDKL,0.1,KDKL_10%,80900,1.7484240482839974,0.024957543196870203,0.0006579656412518078
LC-PFN,KDKL,0.1,KDKL_10%,9183,0.33112987875938416,0.006377003155648708,4.761160380439833e-05
MMF4,KDKL,0.1,KDKL_10%,9183,0.15793411261678514,0.003024978972420957,9.150497783635406e-06
WBL4,KDKL,0.1,KDKL_10%,9183,0.11644749708808365,0.0022312924762240005,4.978666114453831e-06
POW4,KDKL,0.1,KDKL_10%,9183,0.46694650533673404,0.008932880584826719,0.00011176341087840107
