Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
MMF4,KDKL,0.9,KDKL_90%,2.721239755860693,0.04360256360954249,0.0021683050379597128,203,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,2.1303745677161694,0.03432325142794013,0.00144397771642387,203,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,4.7462302692491285,0.07452011734963415,0.005845790367872593,203,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.19965311884880066,0.003912349697202444,1.5720974261057563e-05,204,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.6671805439344702,0.013134736165442732,0.00017255611282006688,204,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,0.5436675056839615,0.010689837282870504,0.00011427262113429262,204,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,0.6454629185063583,0.012704919462385314,0.00016246082371454597,204,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.9,KDKL_90%,0.0004681138671003282,8.597970008850098e-06,7.394884704581273e-11,205,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,8.202615256252298e-07,1.5066027897470136e-08,2.2815507038514107e-16,205,1.0,1.0,1.0,1.0
WBL4,KDKL,0.9,KDKL_90%,0.001771770398392207,3.254330014257345e-05,1.0626424361961753e-09,205,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,2.5538930425687087e-06,4.690824076392097e-08,2.216087555914704e-15,205,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.213631734251976,0.0041397809982299805,2.058406244032085e-05,206,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.5350745905774816,0.010331682669722175,0.00011409697264205789,206,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,0.4733402475263575,0.009145714187390408,9.099700101681228e-05,206,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,0.33262054225197796,0.00647235528097028,4.99594691883916e-05,206,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,3.7219443321228027,0.009939652867615223,9.962407784769312e-05,207,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,3.8820513455249444,0.010362763489746563,0.000108779817527544,207,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,3.8737231481290624,0.010340557374614428,0.00010737414189314687,207,3.0,3.0,2.0,2.6666666666666665
POW4,KDKL,0.9,KDKL_90%,3.8676142006444474,0.010324683719260135,0.00010786744516769072,207,2.0,2.0,3.0,2.3333333333333335
LC-PFN,KDKL,0.9,KDKL_90%,0.48707103729248047,0.007804479915648699,6.285353447310627e-05,208,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,0.4543340670488522,0.007211433779354663,5.716704950977278e-05,208,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,0.25200406606183834,0.004009712938875556,2.2095932837051864e-05,208,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,1.3639607538128227,0.021380617906457598,0.0005203707957382371,208,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.9506745934486389,0.014839219860732555,0.0003620237694121897,209,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,1.061321524723008,0.01657773013649344,0.0003874086649926753,209,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,1.3849668533933623,0.021569916871914275,0.0005943527098794741,209,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,1.526971004669613,0.02408287639315234,0.000734297113428572,209,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.1932212859392166,0.0020756262820214033,4.519557023741072e-06,210,2.0,2.0,2.0,2.0
MMF4,KDKL,0.9,KDKL_90%,2.2078737022004855,0.023252173897806427,0.0005406635909738307,210,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,0.042410365552611316,0.0004566988624653545,2.0857385097714884e-07,210,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,0.5574222535345664,0.006033734337088161,3.641446427150894e-05,210,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.9,KDKL_90%,0.14704522490501404,0.0023628047201782465,6.705204668833176e-06,211,2.0,2.0,2.0,2.0
MMF4,KDKL,0.9,KDKL_90%,0.22317490118339287,0.0036071526481751904,2.0050906392706522e-05,211,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,0.22830009981393376,0.0036905013769993333,2.1107404071245766e-05,211,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,0.1302228982302878,0.002095761284963233,5.471552590699581e-06,211,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,0.7084898948669434,0.012790997512638569,0.00023826291726436466,212,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.8306867235034024,0.014976049802741273,0.00037167007205044005,212,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,1.8685382023679313,0.033245887222154935,0.0013389491061215472,212,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,4.201790647312062,0.07288649301515877,0.005584662881070769,212,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.8475255966186523,0.010469950735569,0.0001621779811102897,213,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,7.616997597116071,0.08768518519656239,0.007936372065609765,213,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,1.1928615162034741,0.01473755957151214,0.00028356633980813233,213,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,0.9996980399171511,0.012348050648875203,0.00021972334774984222,213,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.8161711692810059,0.008273666724562645,0.00010321223817300051,214,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,1.3992922089970525,0.013953460666120876,0.00022161115366888906,214,4.0,3.0,3.0,3.3333333333333335
WBL4,KDKL,0.9,KDKL_90%,1.1320308603164309,0.011521228933589468,0.00016640591587389512,214,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,1.3908862438342278,0.014200624242536763,0.00023534613098731165,214,3.0,4.0,4.0,3.6666666666666665
LC-PFN,KDKL,0.9,KDKL_90%,3.5029423236846924,0.05428602173924446,0.003975206986069679,215,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,4.223538103019407,0.06539171954705965,0.004759537922256116,215,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,4.248146660163111,0.06576364935459333,0.004826735499978468,215,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,3.8122119720159975,0.05916066971671452,0.004421040972654827,215,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.6583174467086792,0.009647278115153313,0.00013521766231860965,216,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,0.28632034509742854,0.004196964413544506,2.1913680279206768e-05,216,2.0,1.0,1.0,1.3333333333333333
WBL4,KDKL,0.9,KDKL_90%,0.28631998519167584,0.004219552705301175,3.230100665037638e-05,216,1.0,2.0,2.0,1.6666666666666667
POW4,KDKL,0.9,KDKL_90%,1.1954896665007095,0.01736607121380873,0.00034554589300041737,216,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.9773746132850647,0.013370275497436523,0.00021904183086007833,217,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,2.498532932881766,0.033600770146102035,0.0012537460148358023,217,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,1.8368839914168722,0.02574525747082541,0.0007122009982882854,217,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,1.8368824091239393,0.025745234847392884,0.0007121998333967953,217,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.3661893308162689,0.007240126375108957,5.9640020481310785e-05,218,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.7187974294159243,0.014157593581177777,0.00020390636271253905,218,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,0.5995242899297828,0.011822986614941688,0.00014346842530608194,218,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,0.6904315621587166,0.01360275397529731,0.00018830099409359,218,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.9,KDKL_90%,18.435367584228516,0.22017261385917664,0.07151170074939728,219,3.0,4.0,4.0,3.6666666666666665
MMF4,KDKL,0.9,KDKL_90%,18.445418901105697,0.18559112958503532,0.05506728779736636,219,4.0,3.0,3.0,3.3333333333333335
WBL4,KDKL,0.9,KDKL_90%,12.405928217440765,0.1356182389746437,0.023620779620580595,219,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,12.4059282087185,0.13561823887667965,0.023620779614934355,219,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,0.0479479655623436,0.0008182923193089664,1.1697877653205069e-06,220,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.06461947901310595,0.0011025353135889235,1.96207887792798e-06,220,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,0.2315436710149609,0.003942678953550962,1.6445608036516633e-05,220,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,0.059959707597656425,0.0010233341304131732,1.6141334280722903e-06,220,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.6463257074356079,0.010718678124248981,0.00015117244038265198,221,2.0,2.0,1.0,1.6666666666666667
MMF4,KDKL,0.9,KDKL_90%,0.7435299862449509,0.012292151124788557,0.0002704795440908301,221,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,0.6273912787872777,0.010390518409272933,0.0002181478815192239,221,1.0,1.0,2.0,1.3333333333333333
POW4,KDKL,0.9,KDKL_90%,1.3798198878621994,0.022609555018387826,0.0006369710939027642,221,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.7089028358459473,0.011027609929442406,0.00015022754087112844,222,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,0.4154032907588588,0.006417242551990343,5.927623227279279e-05,222,1.0,1.0,1.0,1.0
WBL4,KDKL,0.9,KDKL_90%,0.4212165950903792,0.006506509438689734,6.403831033492064e-05,222,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,1.1235662877075123,0.017556917302545206,0.00033540166137922443,222,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,3.4552953243255615,0.013848596252501011,0.00022698441171087325,223,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,5.479248533754282,0.020350456973446954,0.00045102107746292623,223,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,56.826113794859076,0.5130486218480758,0.2632601990221138,223,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,56.82611054173734,0.5130485538014674,0.2632601291996811,223,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.9,KDKL_90%,0.7548545598983765,0.012646699324250221,0.0003694823826663196,224,4.0,4.0,4.0,4.0
MMF4,KDKL,0.9,KDKL_90%,0.6978440469486801,0.011687364603203031,0.0002160586753694055,224,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,0.7253589124406404,0.012133111757900661,0.00021099027366375183,224,3.0,3.0,1.0,2.3333333333333335
POW4,KDKL,0.9,KDKL_90%,0.6861449301514542,0.011512079676859499,0.00028079231833605926,224,1.0,1.0,3.0,1.6666666666666667
LC-PFN,KDKL,0.9,KDKL_90%,2.999471426010132,0.04460231214761734,0.0024219867773354053,225,2.0,2.0,2.0,2.0
MMF4,KDKL,0.9,KDKL_90%,4.500457098349458,0.06580595820587118,0.0048360609405383465,225,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,4.9080845409455645,0.0714586378914086,0.005616717552132186,225,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,1.0478534905950738,0.015961071498858746,0.00031226920661432835,225,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,1.726303219795227,0.02043256163597107,0.0008072333293966949,226,1.0,1.0,2.0,1.3333333333333333
MMF4,KDKL,0.9,KDKL_90%,1.7706803215622382,0.02094014924908702,0.0008549829784375588,226,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,1.8954606009278459,0.022364006377294743,0.000916641909107071,226,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,1.7328516207894222,0.02050581121000178,0.0006301473690284541,226,2.0,2.0,1.0,1.6666666666666667
LC-PFN,KDKL,0.9,KDKL_90%,1.960253357887268,0.030899422243237495,0.0010549364378675818,227,4.0,4.0,4.0,4.0
MMF4,KDKL,0.9,KDKL_90%,1.792280086364812,0.028309361245746727,0.0009237726831675691,227,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,1.9087229471344633,0.03010919646560119,0.0010410185758894764,227,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,0.9616607254147088,0.015341504695357364,0.00029106321422261896,227,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,0.23437799513339996,0.0036391497123986483,1.484134827478556e-05,228,2.0,2.0,2.0,2.0
MMF4,KDKL,0.9,KDKL_90%,0.5506935139732815,0.008522237799697564,7.424821192415415e-05,228,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,0.5495092532069052,0.008504013188537251,7.393464031081552e-05,228,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,0.11084219254128616,0.0017254904293118156,4.5552297705696926e-06,228,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,0.8329994678497314,0.013948013074696064,0.00022494625591207296,229,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,4.1363379917983565,0.0663541580275382,0.0044614935732423975,229,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,1.4516672838388054,0.024945652493614523,0.0009245952968553947,229,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,6.85216057843478,0.10711278265725682,0.011648045236113508,229,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.47903600335121155,0.0075730858370661736,7.534184987889603e-05,230,4.0,4.0,3.0,3.6666666666666665
MMF4,KDKL,0.9,KDKL_90%,0.47802421541536094,0.007556989709486195,7.685149439951997e-05,230,3.0,3.0,4.0,3.3333333333333335
WBL4,KDKL,0.9,KDKL_90%,0.4498577786424483,0.007110207109838673,6.376441168098209e-05,230,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,0.4517272973368911,0.007139789489392645,6.519201140825034e-05,230,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.21019089221954346,0.0041159987449646,2.407460669928696e-05,231,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.2884222174360832,0.005639831646231227,5.8824491469619136e-05,231,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,0.22690741986283497,0.004442888263833544,2.683432365898142e-05,231,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,0.22690741999171335,0.004442888266354782,2.6834323659254177e-05,231,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.9,KDKL_90%,1.0195040702819824,0.010359199717640877,0.0001352706749457866,232,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,1.4559988682573843,0.014720553986189603,0.00024188283722480442,232,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,1.3626255952810549,0.013790769156151671,0.00021535359794189654,232,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,1.3626256027508714,0.013790769230602505,0.00021535359999540134,232,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.9,KDKL_90%,1.8439154624938965,0.03292216360569,0.001565794344060123,233,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,3.014422728260658,0.053083738788824164,0.0032026170880353135,233,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,2.959829566354813,0.05215374405431922,0.0031047467831185867,233,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,2.3204957800015036,0.04118887295031742,0.002086841326962171,233,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.2701605260372162,0.004415954928845167,3.6861489206785336e-05,234,4.0,4.0,4.0,4.0
MMF4,KDKL,0.9,KDKL_90%,0.2572389683129149,0.004202919220786432,3.567145867182214e-05,234,1.0,1.0,2.0,1.3333333333333333
WBL4,KDKL,0.9,KDKL_90%,0.259614821711457,0.004242277803069501,3.618245786411114e-05,234,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,0.25833174988962027,0.004220751834424148,3.560209261558541e-05,234,2.0,2.0,1.0,1.6666666666666667
LC-PFN,KDKL,0.9,KDKL_90%,5.8164777755737305,0.00795235950499773,8.179711585398763e-05,235,1.0,1.0,4.0,2.0
MMF4,KDKL,0.9,KDKL_90%,5.930796753673286,0.008112290594292193,7.85035688832672e-05,235,4.0,4.0,1.0,3.0
WBL4,KDKL,0.9,KDKL_90%,5.930703712988235,0.00811216071550156,7.850491223784755e-05,235,2.0,2.0,3.0,2.3333333333333335
POW4,KDKL,0.9,KDKL_90%,5.9307037436318915,0.008112160758284987,7.850491180704444e-05,235,3.0,3.0,2.0,2.6666666666666665
LC-PFN,KDKL,0.9,KDKL_90%,0.15426687896251678,0.003068336518481374,9.414688065589871e-06,236,4.0,4.0,4.0,4.0
MMF4,KDKL,0.9,KDKL_90%,2.2265083245496154e-06,4.435310718697849e-08,1.968036019644521e-15,236,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,6.631082908323785e-11,1.3209433546990113e-12,1.744891346323478e-24,236,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,9.758585240775084e-09,1.943956741610821e-10,3.7789678132544623e-20,236,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,2.4271390438079834,0.02397984266281128,0.0008922725101001561,237,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,1.4913836625489105,0.01454288890332176,0.000300677326794235,237,1.0,1.0,1.0,1.0
WBL4,KDKL,0.9,KDKL_90%,1.5159999001463487,0.014786542299847405,0.00031811824313984365,237,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,4.755902170339456,0.04840021993683437,0.0026830823901333304,237,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,1.2612098455429077,0.018519973382353783,0.0004111429734621197,238,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,2.318735856295797,0.034446627172151925,0.0012815444247033818,238,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,1.8631782599880953,0.027537543765610507,0.0008395864899784043,238,2.0,2.0,2.0,2.0
POW4,KDKL,0.9,KDKL_90%,3.3820933897191234,0.05083567274598768,0.0027202956187251186,238,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,0.10340574383735657,0.001861895783804357,3.728715910256142e-06,239,3.0,3.0,1.0,2.3333333333333335
MMF4,KDKL,0.9,KDKL_90%,0.09196558533562292,0.0016577391323456497,4.122829259333224e-06,239,1.0,1.0,3.0,1.6666666666666667
WBL4,KDKL,0.9,KDKL_90%,0.13951997599358695,0.002516845951663222,7.715305167838512e-06,239,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,0.09200833065072579,0.001658600973669544,4.054066735695532e-06,239,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,0.5798591375350952,0.00930187851190567,0.00010739162098616362,240,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,0.9195647621110485,0.014705655502343956,0.0002508661922313265,240,3.0,3.0,3.0,3.0
WBL4,KDKL,0.9,KDKL_90%,0.9327841208575574,0.014914921926523425,0.0002581146124232209,240,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,0.819329638743592,0.013116528828935575,0.00020086645341306034,240,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,17.9859619140625,0.05046316981315613,0.0038894747849553823,241,3.0,3.0,3.0,3.0
MMF4,UD,0.1,UD_10%,11.342401654966194,0.021989417998624822,0.000536164609458404,241,2.0,2.0,2.0,2.0
WBL4,UD,0.1,UD_10%,2.9881175276449583,0.006410621229068018,6.136583239264704e-05,241,1.0,1.0,1.0,1.0
POW4,UD,0.1,UD_10%,18.91695734726136,0.05321194194850168,0.004113007759395258,241,4.0,4.0,4.0,4.0
LC-PFN,UD,0.1,UD_10%,0.1767084151506424,0.0017648751381784678,3.1147876597970026e-06,242,3.0,3.0,3.0,3.0
MMF4,UD,0.1,UD_10%,0.22114891687601318,0.0022025291279828517,6.856123657373786e-06,242,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,0.1419621483723366,0.0014175847025235406,2.132333662636135e-06,242,1.0,1.0,1.0,1.0
POW4,UD,0.1,UD_10%,0.14196214840971313,0.0014175847028969363,2.132333663442091e-06,242,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,15.947495460510254,0.028949663043022156,0.0011556760873645544,243,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,20.98329818642897,0.03705820106040636,0.0019768042330254405,243,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,20.983297760915427,0.037058200454078496,0.0019768041721681343,243,2.0,2.0,2.0,2.0
POW4,UD,0.1,UD_10%,20.983300684804306,0.03705820461979009,0.0019768045897290134,243,4.0,4.0,4.0,4.0
LC-PFN,UD,0.1,UD_10%,1.103790521621704,0.017289839684963226,0.0004315420228522271,244,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,2.521739274637366,0.03888603333192172,0.0021179858167007246,244,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,2.5611165746819027,0.03947221790596261,0.002167831881091975,244,4.0,4.0,4.0,4.0
POW4,UD,0.1,UD_10%,1.765013310893372,0.027502355595346886,0.001123990088360723,244,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,7.009166717529297,0.07861828058958054,0.008774925954639912,245,2.0,2.0,2.0,2.0
MMF4,UD,0.1,UD_10%,10.858172626483102,0.12959631924716272,0.02110362722205137,245,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,5.122127919363954,0.05572888153677869,0.004350234051248304,245,1.0,1.0,1.0,1.0
POW4,UD,0.1,UD_10%,13.177920020615355,0.16492873678585654,0.034977544909091766,245,4.0,4.0,4.0,4.0
LC-PFN,UD,0.1,UD_10%,3.7111949920654297,0.06616005301475525,0.005129658617079258,246,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,6.534884240930371,0.11299282329781557,0.014199770872258889,246,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,6.609601495927123,0.11419612587469898,0.014473147939379769,246,4.0,4.0,4.0,4.0
POW4,UD,0.1,UD_10%,4.174227031738867,0.07404432411974018,0.0064391814879558645,246,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,15.4423828125,0.03551466763019562,0.0019230435136705637,247,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,31.280134921165864,0.06406349206206369,0.0053114074072074,247,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,27.121888290360758,0.05778096953963731,0.004435118521389343,247,3.0,3.0,3.0,3.0
POW4,UD,0.1,UD_10%,24.806206398763994,0.05403148499552618,0.003928481699038802,247,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,1.3037091493606567,0.021467730402946472,0.0007392773986794055,248,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,5.394677583852162,0.09491976563768001,0.010896094798411702,248,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,2.545162301219188,0.04150620845274077,0.002585845179973708,248,3.0,3.0,3.0,3.0
POW4,UD,0.1,UD_10%,1.5752056489877728,0.02619845535120222,0.0012846476286378801,248,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,0.7976858019828796,0.013487907126545906,0.00028347549960017204,249,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,1.7858366164518809,0.030011144559033674,0.0013801174429112842,249,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,1.6565471895529629,0.02788897888599361,0.0012347108354681061,249,3.0,3.0,3.0,3.0
POW4,UD,0.1,UD_10%,1.0909948371224008,0.018625056200049343,0.00047663751718882716,249,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,1.6493849754333496,0.018456462770700455,0.0003907761420123279,250,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,4.75167214876832,0.05180137991078938,0.0027727532258876846,250,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,4.736085135781952,0.05163937236309733,0.0027555447260362758,250,3.0,3.0,3.0,3.0
POW4,UD,0.1,UD_10%,4.5257457943044015,0.04944823549138118,0.002527214949244027,250,2.0,2.0,2.0,2.0
LC-PFN,UD,0.1,UD_10%,2.49477481842041,0.04449626803398132,0.002908359980210662,251,2.0,2.0,2.0,2.0
MMF4,UD,0.1,UD_10%,3.7530040465542043,0.06580741411516909,0.006119543999237523,251,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,3.803670595837177,0.06665071604723512,0.006250610024646713,251,4.0,4.0,4.0,4.0
POW4,UD,0.1,UD_10%,1.338797759280528,0.024086283299424725,0.000773197742580895,251,1.0,1.0,1.0,1.0
LC-PFN,UD,0.1,UD_10%,0.014400400221347809,0.00016002995835151523,2.8354184777867886e-08,252,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,0.5008008195571074,0.005592612737946582,3.144709528137382e-05,252,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,0.06202868418416356,0.0006896353737942951,4.755969487883972e-07,252,2.0,2.0,2.0,2.0
POW4,UD,0.1,UD_10%,0.807391074070519,0.009045978725554502,8.400775385386155e-05,252,4.0,4.0,4.0,4.0
LC-PFN,UD,0.1,UD_10%,1.504708170890808,0.02204548567533493,0.0013043846702203155,253,1.0,1.0,4.0,2.0
MMF4,UD,0.1,UD_10%,1.755086192911957,0.025833490995375553,0.0009490092378739878,253,4.0,4.0,1.0,3.0
WBL4,UD,0.1,UD_10%,1.5506464081491234,0.02274509677494536,0.0012731260224466366,253,2.0,2.0,3.0,2.3333333333333335
POW4,UD,0.1,UD_10%,1.5506465048096822,0.022745098241337837,0.0012731257004150894,253,3.0,3.0,2.0,2.6666666666666665
LC-PFN,UD,0.1,UD_10%,0.6855558753013611,0.009602290578186512,0.00014608725905418396,254,3.0,3.0,3.0,3.0
MMF4,UD,0.1,UD_10%,0.5634747763853143,0.007839329978878354,8.515272645305723e-05,254,1.0,1.0,1.0,1.0
