Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
WBL4,KDKL,0.1,KDKL_10%,7.628360343467462,0.12152656097915737,0.01758534369554241,12,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,0.9115801379241268,0.01554512990443822,0.00036469832277058256,12,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,1.5468159914016724,0.018611732870340347,0.000581121479626745,13,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,2.118278726788173,0.025482016590413572,0.0009333225909340652,13,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,2.6736989811126866,0.031935891909333707,0.0014112635523848395,13,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,1.4690683467963384,0.017748780138232816,0.0005146405672294799,13,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,4.184828758239746,0.05296759307384491,0.0042874934151768684,14,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,3.497294654813501,0.04375731714918658,0.002971562329740373,14,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,3.4352381891122494,0.042984126715289804,0.0028499094429115177,14,1.0,1.0,1.0,1.0
POW4,KDKL,0.1,KDKL_10%,3.435238214858977,0.04298412703848721,0.002849909466961906,14,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,0.40721866488456726,0.007868084125220776,7.581715181004256e-05,15,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,1.4473565040876994,0.028346692469482904,0.0008788276311818201,15,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,1.6029244707824464,0.03142912119725752,0.0010690527754519696,15,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,0.73491121301552,0.014294613658797028,0.00024243103529400105,15,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,0.14530852437019348,0.0028734535444527864,1.2192325812065974e-05,16,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,0.5707443950397902,0.011234094433676813,0.00013332456183423946,16,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,0.6158083794096855,0.012115388247625265,0.00015390231648223945,16,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,0.8102034937680129,0.015908045976589676,0.00026018561088453736,16,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,6.668787479400635,0.07889195531606674,0.010812315158545971,17,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,22.1191084843436,0.31108427362721125,0.11131983893994822,17,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,12.296645266476153,0.1381328381648366,0.02838938044952075,17,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,2.3739749235498677,0.023722934174553092,0.0007992503746187473,17,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,1.0379388332366943,0.012253030203282833,0.00023272055841516703,18,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,22.56912576299575,0.23805477170196188,0.06735655350177186,18,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,23.4016824959027,0.24490017257075364,0.07074885603496812,18,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,13.655494806738794,0.1576316084682163,0.0316416365575631,18,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,0.40151992440223694,0.006445696111768484,6.446163752116263e-05,19,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,2.8698757539879143,0.0445696575442051,0.002052877453069155,19,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,2.402329205175853,0.03748557606030553,0.0014714252857527938,19,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,0.4568030392435915,0.007323647500016126,6.823695416564137e-05,19,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,15.387127876281738,0.14240317046642303,0.03605629503726959,20,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,9.452640159508299,0.09412213092681444,0.015817398140457798,20,1.0,1.0,2.0,1.3333333333333333
WBL4,KDKL,0.1,KDKL_10%,9.578393640543842,0.0948441907549432,0.01578118867173005,20,2.0,2.0,1.0,1.6666666666666667
POW4,KDKL,0.1,KDKL_10%,15.051578380087873,0.13855110143042196,0.032699500050817516,20,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,4.055320739746094,0.05398748070001602,0.0036855656653642654,21,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,7.167263946017743,0.0839086698842638,0.009765105913973018,21,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,5.633580179371792,0.07576719571626775,0.0061695473173849725,21,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,5.633580179850192,0.0757671957230987,0.006169547318078548,21,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,0.4552084505558014,0.008605379611253738,9.504015906713903e-05,22,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,0.609035709099601,0.011498878614604384,0.000184014417793704,22,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,0.5699857895700536,0.0107668920227758,0.00015981867902519842,22,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,0.4561640832922234,0.00867833603817841,0.00010363020955439983,22,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,2.525627851486206,0.04069878160953522,0.002561581088230014,23,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,2.100946434757807,0.03250420711930638,0.001367215639281398,23,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,1.9895440945266283,0.0308242198165629,0.001256282597715264,23,1.0,1.0,1.0,1.0
POW4,KDKL,0.1,KDKL_10%,4.527454666911221,0.07549334998833113,0.008691808645819223,23,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,20.204936981201172,0.2275199443101883,0.1447153389453888,24,3.0,3.0,3.0,3.0
