Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,10011,0.7515418343245983,0.012545349076390266,0.00021710156579501927
MMF4,KDKL,0.1,KDKL_10%,10011,1.55084634934075,0.02616215853672351,0.0008444261257709344
WBL4,KDKL,0.1,KDKL_10%,10011,0.7456578516177466,0.012435284214520824,0.0001852066507357162
POW4,KDKL,0.1,KDKL_10%,10011,3.8146099739976345,0.06656851794217408,0.005955141766124372
LC-PFN,KDKL,0.1,KDKL_10%,5237,0.21971429232507944,0.004212075844407082,3.155220110784285e-05
MMF4,KDKL,0.1,KDKL_10%,5237,1.7424654118394307,0.033942722596616175,0.0012278416408712334
WBL4,KDKL,0.1,KDKL_10%,5237,1.9571741639945726,0.038168067539919664,0.001563818522483672
POW4,KDKL,0.1,KDKL_10%,5237,0.8256611719742075,0.015985718830951352,0.00030046749614762164
LC-PFN,KDKL,0.1,KDKL_10%,52428,0.9640238247811794,0.012717055156826973,0.00022000049648340791
MMF4,KDKL,0.1,KDKL_10%,52428,1.079427882556378,0.014230961781016793,0.0002622818589849675
WBL4,KDKL,0.1,KDKL_10%,52428,1.0975276788773742,0.014468056043669044,0.000284707586653464
POW4,KDKL,0.1,KDKL_10%,52428,1.444112547595355,0.019309549555542243,0.00046764025045826693
LC-PFN,KDKL,0.1,KDKL_10%,77151,1.477026380598545,0.0272495299577713,0.0009283609688282013
MMF4,KDKL,0.1,KDKL_10%,77151,0.7470853908677171,0.013690662948335198,0.0002385313098733158
WBL4,KDKL,0.1,KDKL_10%,77151,0.7568885385091676,0.013870147450878547,0.0002404233836775087
POW4,KDKL,0.1,KDKL_10%,77151,3.194081692292455,0.060286475483212,0.004600087643096226
LC-PFN,KDKL,0.1,KDKL_10%,76926,2.3799533024430275,0.03190029785037041,0.0021228897385299206
MMF4,KDKL,0.1,KDKL_10%,76926,2.5007507767693227,0.03342337943555399,0.0020162217014589156
WBL4,KDKL,0.1,KDKL_10%,76926,1.2305414376246553,0.015988240713018555,0.0006338377556115652
POW4,KDKL,0.1,KDKL_10%,76926,2.338591503539225,0.03116379892283081,0.001822828248593265
LC-PFN,KDKL,0.1,KDKL_10%,29955,0.15871766954660416,0.0030673642177134752,1.18268335427274e-05
MMF4,KDKL,0.1,KDKL_10%,29955,0.5897594474275115,0.011476853885696041,0.0001493080726248301
WBL4,KDKL,0.1,KDKL_10%,29955,0.07838451530707768,0.0015151687262482672,3.486088457851008e-06
POW4,KDKL,0.1,KDKL_10%,29955,0.4344145228176367,0.00843773342365476,7.947557925959088e-05
LC-PFN,KDKL,0.1,KDKL_10%,83168,0.49512293189764023,0.00786362960934639,0.00011759855260606855
MMF4,KDKL,0.1,KDKL_10%,83168,1.5044604592532862,0.023780629305413085,0.0007037859496758388
WBL4,KDKL,0.1,KDKL_10%,83168,1.6543103604670661,0.026102410090824948,0.0008387360064934121
POW4,KDKL,0.1,KDKL_10%,83168,0.917376056046491,0.014679134835210517,0.00032054914494222743
LC-PFN,KDKL,0.1,KDKL_10%,67596,0.17109974287450314,0.003365912474691868,1.132936631620396e-05
MMF4,KDKL,0.1,KDKL_10%,67596,3.4701080650957947e-06,6.838153850570923e-08,5.4724431780172104e-15
WBL4,KDKL,0.1,KDKL_10%,67596,7.431203248110967e-12,1.4643841694805815e-13,2.1444209958253324e-26
POW4,KDKL,0.1,KDKL_10%,67596,4.542573435901735e-07,8.9515417300845e-09,8.013009934544421e-17
LC-PFN,KDKL,0.1,KDKL_10%,19918,0.6256035063415766,0.010416495613753796,0.00013255029625725
MMF4,KDKL,0.1,KDKL_10%,19918,0.7144628029147765,0.011781068272021392,0.00019350415504679387
WBL4,KDKL,0.1,KDKL_10%,19918,0.8139683079899527,0.013404039077111499,0.00023453947211541173
POW4,KDKL,0.1,KDKL_10%,19918,0.6473369732706789,0.010764673329547917,0.00014880565686060146
LC-PFN,KDKL,0.1,KDKL_10%,76510,2.959231659770012,0.03565318137407303,0.0017536357045173645
MMF4,KDKL,0.1,KDKL_10%,76510,0.6838956073994462,0.007880339457964514,0.00010136817108478738
WBL4,KDKL,0.1,KDKL_10%,76510,0.6690808784980492,0.007704705468532041,8.768348154301363e-05
POW4,KDKL,0.1,KDKL_10%,76510,5.179132522642389,0.06372475972541924,0.004731809376075672
LC-PFN,KDKL,0.1,KDKL_10%,70520,1.0294348001480103,0.01586184836924076,0.0003478954895399511
MMF4,KDKL,0.1,KDKL_10%,70520,7.337029405528031,0.12333562733285457,0.01877534907923304
WBL4,KDKL,0.1,KDKL_10%,70520,0.9447738466153066,0.014365456667257078,0.0002921517419082136
POW4,KDKL,0.1,KDKL_10%,70520,5.358135000525793,0.0884357899830297,0.010856684735713036
LC-PFN,KDKL,0.1,KDKL_10%,4218,11.181104928255081,0.10240696370601654,0.012985135428607464
MMF4,KDKL,0.1,KDKL_10%,4218,8.47715097225039,0.061123330103124686,0.004073735063009009
