Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,5053,1.6235336661338806,0.02938578650355339,0.0012620744528248906
MMF4,KDKL,0.1,KDKL_10%,5053,4.084754638110166,0.07164776087986155,0.006494010059786355
WBL4,KDKL,0.1,KDKL_10%,5053,2.1242111857921584,0.03818484747770245,0.0020699687368011155
POW4,KDKL,0.1,KDKL_10%,5053,2.1242106054204455,0.038184837348356704,0.0020699677689345907
LC-PFN,KDKL,0.1,KDKL_10%,37497,0.3746337490156293,0.007234781980514526,7.279931742232293e-05
MMF4,KDKL,0.1,KDKL_10%,37497,0.38218636607077,0.007381747901025057,9.019083692285544e-05
WBL4,KDKL,0.1,KDKL_10%,37497,0.37595741196173355,0.007260890980308147,7.897398438468541e-05
POW4,KDKL,0.1,KDKL_10%,37497,0.368549164244166,0.007115388313382139,8.64914433607253e-05
LC-PFN,KDKL,0.1,KDKL_10%,91255,2.2116221487522125,0.03510092943906784,0.0014755419688299298
MMF4,KDKL,0.1,KDKL_10%,91255,1.1554759804914496,0.01808809342798912,0.00045206122778626687
WBL4,KDKL,0.1,KDKL_10%,91255,1.5247130751431832,0.023984504608797936,0.0007291261348967054
POW4,KDKL,0.1,KDKL_10%,91255,1.5247129944209803,0.023984503314002273,0.000729126063235958
LC-PFN,KDKL,0.1,KDKL_10%,60625,0.3911703359335661,0.0075293900445103645,7.79961992520839e-05
MMF4,KDKL,0.1,KDKL_10%,60625,0.3339151488156437,0.006431420509849824,5.3714885966238044e-05
WBL4,KDKL,0.1,KDKL_10%,60625,0.3330110317974811,0.006414052251161828,5.3424913526073054e-05
POW4,KDKL,0.1,KDKL_10%,60625,0.41671009570584705,0.008019185784358325,8.910515254948626e-05
LC-PFN,KDKL,0.1,KDKL_10%,18865,1.3513069599866867,0.02137877233326435,0.0006179363699629903
MMF4,KDKL,0.1,KDKL_10%,18865,6.364938214539808,0.0949310593753434,0.011044486612666
WBL4,KDKL,0.1,KDKL_10%,18865,5.821832129532526,0.08738719089528016,0.009641072980258104
POW4,KDKL,0.1,KDKL_10%,18865,2.591558108825887,0.04059471479982305,0.0023881178078277204
LC-PFN,KDKL,0.1,KDKL_10%,88034,7.757994532585144,0.10759225487709045,0.014657088555395603
MMF4,KDKL,0.1,KDKL_10%,88034,14.23599177175302,0.2166236029654445,0.05840652113828445
WBL4,KDKL,0.1,KDKL_10%,88034,16.13858700492761,0.25228682464152824,0.07836205077512023
POW4,KDKL,0.1,KDKL_10%,88034,9.127566415302795,0.13004601121662715,0.022924830695680326
LC-PFN,KDKL,0.1,KDKL_10%,91545,0.5130099132657051,0.009875357151031494,0.00011041005200240761
MMF4,KDKL,0.1,KDKL_10%,91545,1.0359925761137925,0.020310339616157854,0.0005261501707882626
WBL4,KDKL,0.1,KDKL_10%,91545,0.41105217224140894,0.007971605195735476,7.95017011934083e-05
POW4,KDKL,0.1,KDKL_10%,91545,0.3999877387931566,0.007707490834198997,7.99807664530667e-05
LC-PFN,KDKL,0.1,KDKL_10%,48480,1.6682207584381104,0.003377962624654174,1.670955134613905e-05
MMF4,KDKL,0.1,KDKL_10%,48480,2.3596986278356518,0.004741964061581812,3.1394931328758625e-05
WBL4,KDKL,0.1,KDKL_10%,48480,2.3048098886381623,0.004634850571173952,3.0120446486386545e-05
POW4,KDKL,0.1,KDKL_10%,48480,2.304809890602706,0.0046348505750108925,3.0120446532219315e-05
