Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,55302,0.15029029455035925,0.0029717436991631985,1.2785097169398796e-05
MMF4,KDKL,0.1,KDKL_10%,55302,0.5707444129976913,0.011234094785027869,0.00013332456972846158
WBL4,KDKL,0.1,KDKL_10%,55302,0.6158083791269692,0.012115388242098797,0.00015390231634832883
POW4,KDKL,0.1,KDKL_10%,55302,0.8102034937680129,0.015908045976589676,0.00026018561088453736
LC-PFN,KDKL,0.1,KDKL_10%,3905,1.320037990808487,0.015706773847341537,0.00040031233220361173
MMF4,KDKL,0.1,KDKL_10%,3905,22.569130448836596,0.23805481048993613,0.0673565724312462
WBL4,KDKL,0.1,KDKL_10%,3905,23.401682060168206,0.24490016901922834,0.07074885429281429
POW4,KDKL,0.1,KDKL_10%,3905,13.655497567318017,0.15763163548024137,0.03164164642662066
LC-PFN,KDKL,0.1,KDKL_10%,12280,0.4432361572980881,0.007124046329408884,7.875187293393537e-05
MMF4,KDKL,0.1,KDKL_10%,12280,2.869877822837046,0.044569688748113824,0.002052880234942247
WBL4,KDKL,0.1,KDKL_10%,12280,2.4023292089747477,0.037485576118127736,0.0014714252900910104
POW4,KDKL,0.1,KDKL_10%,12280,0.45680304299038405,0.007323647560583693,6.823695516802645e-05
LC-PFN,KDKL,0.1,KDKL_10%,28657,14.450234174728394,0.13544133305549622,0.03284779191017151
MMF4,KDKL,0.1,KDKL_10%,28657,9.4526400227173,0.09412212982828988,0.01581739783731789
WBL4,KDKL,0.1,KDKL_10%,28657,9.5783923618354,0.09484418013353356,0.01578118550245693
POW4,KDKL,0.1,KDKL_10%,28657,15.051538722683503,0.1385508199911962,0.032699390638214004
LC-PFN,KDKL,0.1,KDKL_10%,30495,3.90874482691288,0.05193740501999855,0.0034416955895721912
MMF4,KDKL,0.1,KDKL_10%,30495,7.167279617437565,0.08390882537747689,0.009765155343639214
WBL4,KDKL,0.1,KDKL_10%,30495,5.633580171261323,0.0757671956001592,0.006169547299790859
POW4,KDKL,0.1,KDKL_10%,30495,5.633580175562692,0.07576719566171779,0.006169547308747734
LC-PFN,KDKL,0.1,KDKL_10%,66237,0.47376728616654873,0.008954550139605999,0.00010399788880022243
MMF4,KDKL,0.1,KDKL_10%,66237,0.6307893295057376,0.011906207707299063,0.00019963538789119614
WBL4,KDKL,0.1,KDKL_10%,66237,0.569985817518059,0.010766892547056352,0.00015981869674386396
POW4,KDKL,0.1,KDKL_10%,66237,0.4561640357396635,0.008678335119410694,0.00010363019139196854
LC-PFN,KDKL,0.1,KDKL_10%,3478,20.19915133714676,0.22735457122325897,0.1445169299840927
MMF4,KDKL,0.1,KDKL_10%,3478,66.8573533239372,0.6014107069045249,0.3857790720799513
WBL4,KDKL,0.1,KDKL_10%,3478,20.077988257724904,0.22066115673510045,0.1305296760545434
POW4,KDKL,0.1,KDKL_10%,3478,20.07798825686854,0.22066115702479328,0.1305296769346353
LC-PFN,KDKL,0.1,KDKL_10%,78907,2.5138860568404198,0.04050619155168533,0.0025511342100799084
MMF4,KDKL,0.1,KDKL_10%,78907,2.0465761579935013,0.031684769649419804,0.0013122871202669057
WBL4,KDKL,0.1,KDKL_10%,78907,1.9895440611594526,0.0308242193127904,0.00125628256539728
POW4,KDKL,0.1,KDKL_10%,78907,4.52745471753954,0.07549335087980087,0.00869180880507947
LC-PFN,KDKL,0.1,KDKL_10%,73563,1.5917608514428139,0.027998795732855797,0.001422649947926402
MMF4,KDKL,0.1,KDKL_10%,73563,1.7543441426483553,0.030310786876610436,0.001175362603939152
WBL4,KDKL,0.1,KDKL_10%,73563,2.007886320197153,0.03462177868102617,0.0014389425024425606
POW4,KDKL,0.1,KDKL_10%,73563,4.238710847716528,0.07765757691818877,0.00745798903373138
LC-PFN,KDKL,0.1,KDKL_10%,26062,0.017924699932336807,0.0002690521068871021,2.726002321651322e-07
MMF4,KDKL,0.1,KDKL_10%,26062,7.787260002160039e-08,1.1680889992633906e-09,1.5909223672345095e-18
