Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,35635,0.9432514198124409,0.01719735935330391,0.0003249396395403892
MMF4,KDKL,0.1,KDKL_10%,35635,3.726677045697163,0.06608751138818704,0.0045353917755473734
WBL4,KDKL,0.1,KDKL_10%,35635,3.422708942619552,0.06088647328508305,0.0038882313507936773
POW4,KDKL,0.1,KDKL_10%,35635,2.676546675096716,0.04796114594004811,0.002380481831342675
LC-PFN,KDKL,0.1,KDKL_10%,54747,3.64423505961895,0.039719358086586,0.0024641109630465508
MMF4,KDKL,0.1,KDKL_10%,54747,3.0932233031626835,0.034020240888458404,0.0018504744874089248
WBL4,KDKL,0.1,KDKL_10%,54747,4.789502537405537,0.051381461759551876,0.0038020411943283645
POW4,KDKL,0.1,KDKL_10%,54747,7.95162283736571,0.10276762349373746,0.01850844670876508
LC-PFN,KDKL,0.1,KDKL_10%,63966,2.3664161562919617,0.04450569301843643,0.0024898608680814505
MMF4,KDKL,0.1,KDKL_10%,63966,1.0144634359278881,0.019262523548422904,0.0005671682092311471
WBL4,KDKL,0.1,KDKL_10%,63966,2.6872803916501344,0.05034579132287254,0.003201967240794449
POW4,KDKL,0.1,KDKL_10%,63966,2.67899301594684,0.05019562806068516,0.0031859514451324693
LC-PFN,KDKL,0.1,KDKL_10%,10732,1.1331823654472828,0.017877910286188126,0.0003691617457661778
MMF4,KDKL,0.1,KDKL_10%,10732,1.3502029555800639,0.020810161227510067,0.00051524569040907
WBL4,KDKL,0.1,KDKL_10%,10732,1.3454721287599523,0.020738394071680766,0.0005119966727794251
POW4,KDKL,0.1,KDKL_10%,10732,0.4300478833514929,0.006685964987809305,6.103064277086301e-05
LC-PFN,KDKL,0.1,KDKL_10%,39739,0.9517508558928967,0.01838909648358822,0.0004341142484918237
MMF4,KDKL,0.1,KDKL_10%,39739,3.3275561536134397,0.06276944666450858,0.004062162432837621
WBL4,KDKL,0.1,KDKL_10%,39739,3.628306439040467,0.06823837450055471,0.004786904525599251
POW4,KDKL,0.1,KDKL_10%,39739,0.6870229234762442,0.01322479077187341,0.00030467446302477185
LC-PFN,KDKL,0.1,KDKL_10%,44398,6.8469226360321045,0.0570298470556736,0.005920997355133295
MMF4,KDKL,0.1,KDKL_10%,44398,6.963105586315481,0.05623976230258631,0.0045963310895682065
WBL4,KDKL,0.1,KDKL_10%,44398,8.02972959193297,0.06439929575738736,0.0054029238224248275
POW4,KDKL,0.1,KDKL_10%,44398,7.066563147783164,0.05785812713132747,0.005690965462817549
LC-PFN,KDKL,0.1,KDKL_10%,2830,3.4831583499908447,0.048368681222200394,0.0026086007710546255
MMF4,KDKL,0.1,KDKL_10%,2830,5.574347849138066,0.08068840577648541,0.007984171094643305
WBL4,KDKL,0.1,KDKL_10%,2830,4.2586549968236,0.05948269363447559,0.003980707940576726
POW4,KDKL,0.1,KDKL_10%,2830,3.2737885219446956,0.04581486255935424,0.002610763896144497
LC-PFN,KDKL,0.1,KDKL_10%,9480,0.0006661856787104625,1.2235982467245776e-05,1.4977784290604035e-10
