Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,Flat,0.1,Flat_10%,157,0.10665473528206348,0.0021265558898448944,4.638598511519376e-06
MMF4,Flat,0.1,Flat_10%,157,0.011817626556573488,0.00023582207843397322,2.0954958067230443e-07
WBL4,Flat,0.1,Flat_10%,157,0.011817576601657455,0.0002358210811342909,2.0955189378672164e-07
POW4,Flat,0.1,Flat_10%,157,0.011817569970722589,0.0002358209487543348,2.0955213985720772e-07
LC-PFN,Flat,0.1,Flat_10%,1171,6.892753392457962,0.044635605067014694,0.0021399520337581635
MMF4,Flat,0.1,Flat_10%,1171,1.8974639670580284,0.011513859278901233,0.00025777296585958526
WBL4,Flat,0.1,Flat_10%,1171,1.8978196445335784,0.011516090252944425,0.0002578163157695811
POW4,Flat,0.1,Flat_10%,1171,1.8974643558382698,0.011513861717414923,0.00025777301031462897
LC-PFN,Flat,0.1,Flat_10%,589,0.12049042852595448,0.00239399797283113,7.35581170374644e-06
MMF4,Flat,0.1,Flat_10%,589,0.33865806832510853,0.006745799187578522,5.006420652660636e-05
WBL4,Flat,0.1,Flat_10%,589,0.29863933285642985,0.005911403662322241,3.648066470389764e-05
POW4,Flat,0.1,Flat_10%,589,0.2986417053534135,0.005911450478652276,3.648121820653906e-05
LC-PFN,Flat,0.1,Flat_10%,1894,0.38686913903802633,0.007147565484046936,7.568875298602507e-05
MMF4,Flat,0.1,Flat_10%,1894,0.3040570494748528,0.005625055116890553,5.6250787107592074e-05
WBL4,Flat,0.1,Flat_10%,1894,0.30405406138267904,0.005625000134848915,5.625000151705035e-05
POW4,Flat,0.1,Flat_10%,1894,0.30403785214708007,0.005624701872159056,5.62413985267043e-05
LC-PFN,Flat,0.1,Flat_10%,394,0.035170200862921774,0.0006999750039540231,8.809412861410237e-07
MMF4,Flat,0.1,Flat_10%,394,0.054377304318427265,0.001082903801329658,1.585669830752987e-06
WBL4,Flat,0.1,Flat_10%,394,0.1751331331589278,0.0034808695308264095,1.2970440027032562e-05
POW4,Flat,0.1,Flat_10%,394,0.17513311840855877,0.0034808692382031505,1.297043798986587e-05
LC-PFN,Flat,0.1,Flat_10%,2751,0.34211804158985615,0.006749191787093878,0.000127267514471896
MMF4,Flat,0.1,Flat_10%,2751,0.33793605138621996,0.006665906463052373,0.0001299638442672446
WBL4,Flat,0.1,Flat_10%,2751,0.33793507609516676,0.006665887038060239,0.00012996515065303885
POW4,Flat,0.1,Flat_10%,2751,0.3379350968795861,0.0066658874520173035,0.00012996511937994623
LC-PFN,Flat,0.1,Flat_10%,2452,0.5676697939634323,0.009552374482154846,9.144826617557555e-05
MMF4,Flat,0.1,Flat_10%,2452,1.7219637608331177e-05,2.914091968564403e-07,9.303773842468927e-14
WBL4,Flat,0.1,Flat_10%,2452,5.250551004353479e-09,8.885547853054732e-11,7.895296064892555e-21
POW4,Flat,0.1,Flat_10%,2452,4.6040114691097995e-06,7.791404404988711e-08,6.436546399134678e-15
LC-PFN,Flat,0.1,Flat_10%,1856,0.36001699045300484,0.007083643693476915,7.594636554131284e-05
MMF4,Flat,0.1,Flat_10%,1856,0.1689599285914029,0.0033116640226500227,3.265564133500147e-05
WBL4,Flat,0.1,Flat_10%,1856,0.16895398525786742,0.003311546969450756,3.265600407112145e-05
POW4,Flat,0.1,Flat_10%,1856,0.16895413513129023,0.0033115499211391697,3.265595977086007e-05
LC-PFN,Flat,0.1,Flat_10%,2105,0.23226207122206688,0.00458758557215333,2.1047762857051566e-05
MMF4,Flat,0.1,Flat_10%,2105,3.748950708157132e-06,7.387637828642428e-08,6.533476440698488e-15
WBL4,Flat,0.1,Flat_10%,2105,3.753907321813516e-07,7.3974055769809866e-09,5.4721609270349396e-17
POW4,Flat,0.1,Flat_10%,2105,3.111372300501616e-07,6.131233631911925e-09,3.759202584908791e-17
LC-PFN,Flat,0.1,Flat_10%,2040,0.1008148305118084,0.001815900788642466,5.209019491303479e-06
MMF4,Flat,0.1,Flat_10%,2040,0.07879973707004914,0.001419945007021024,6.9947581555774955e-06
WBL4,Flat,0.1,Flat_10%,2040,0.07879602981689901,0.0014198783815265092,6.994474603381607e-06
POW4,Flat,0.1,Flat_10%,2040,0.07876322934015247,0.001419288891571009,6.981691441616657e-06
LC-PFN,Flat,0.1,Flat_10%,2494,0.07557642529718578,0.0010438465978950262,1.9341371171321953e-06
