Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,Flat,0.1,Flat_10%,1673,0.5041365046054125,0.009362434037029743,0.00018920360889751464
MMF4,Flat,0.1,Flat_10%,1673,0.503670083047868,0.00935387153273562,0.000190894924647503
WBL4,Flat,0.1,Flat_10%,1673,0.5036630116601023,0.009353741643492258,0.00019089268635206396
POW4,Flat,0.1,Flat_10%,1673,0.5036694176227399,0.009353859275875837,0.0001908831324514904
LC-PFN,Flat,0.1,Flat_10%,2219,0.5868309643119574,0.01133872102946043,0.00015214963059406728
MMF4,Flat,0.1,Flat_10%,2219,0.8751992131391326,0.016976637537016778,0.0003327868708111173
WBL4,Flat,0.1,Flat_10%,2219,0.24316101460434042,0.004674784025584762,4.5629379891055035e-05
POW4,Flat,0.1,Flat_10%,2219,0.9022010735580566,0.01753364222566061,0.00039495599500672865
LC-PFN,Flat,0.1,Flat_10%,410,7.9876609146595,0.13372360169887543,0.020556055009365082
MMF4,Flat,0.1,Flat_10%,410,4.688140358804156,0.07461459160922684,0.009280689303307258
WBL4,Flat,0.1,Flat_10%,410,5.042559430837764,0.08073124406457317,0.010141890893742038
POW4,Flat,0.1,Flat_10%,410,5.042559095721931,0.0807312382459853,0.010141889852019479
LC-PFN,Flat,0.1,Flat_10%,2329,0.10568908182904124,0.002039160579442978,4.477827133086976e-06
MMF4,Flat,0.1,Flat_10%,2329,4.9095685851549887e-05,9.461713403226229e-07,1.3825882910216882e-12
WBL4,Flat,0.1,Flat_10%,2329,2.479100592600715e-09,4.7777226619416524e-11,2.282663383443083e-21
POW4,Flat,0.1,Flat_10%,2329,1.0741679760708931e-08,2.0701365232614577e-10,4.285468049434238e-20
LC-PFN,Flat,0.1,Flat_10%,2846,0.2168147126212716,0.00391002930700779,1.5399264157167636e-05
MMF4,Flat,0.1,Flat_10%,2846,0.01671380204542005,0.0003005272647720013,2.889176906683868e-06
WBL4,Flat,0.1,Flat_10%,2846,0.01671123367689464,0.0003004808366643269,2.889238122453818e-06
POW4,Flat,0.1,Flat_10%,2846,0.016719673899703972,0.0003006334101907371,2.8894072203618704e-06
LC-PFN,Flat,0.1,Flat_10%,2821,0.6609584670513868,0.01171743031591177,0.00014994535013101995
MMF4,Flat,0.1,Flat_10%,2821,2.3751299825356114,0.04133269613326378,0.0019307993946735273
WBL4,Flat,0.1,Flat_10%,2821,0.633941141893912,0.011243901788421242,0.0001559162085277981
POW4,Flat,0.1,Flat_10%,2821,0.6537969914662406,0.011594004551149343,0.00016360770954661937
LC-PFN,Flat,0.1,Flat_10%,2130,0.017904536798596382,0.00035660265712067485,1.2798651027878805e-07
MMF4,Flat,0.1,Flat_10%,2130,1.791771099631606e-06,3.569293458571821e-08,1.2740092822636901e-15
WBL4,Flat,0.1,Flat_10%,2130,1.7749209731467124e-09,3.535727266523736e-11,1.250136730323941e-21
POW4,Flat,0.1,Flat_10%,2130,7.320552791200506e-10,1.4582890450753894e-11,2.126606938986891e-22
LC-PFN,Flat,0.1,Flat_10%,477,0.34182926174253225,0.006374256685376167,8.052694465732202e-05
MMF4,Flat,0.1,Flat_10%,477,0.3258429222976829,0.006074058868671387,7.503098193571292e-05
WBL4,Flat,0.1,Flat_10%,477,0.32584877868302226,0.006074168766989472,7.503384812671015e-05
POW4,Flat,0.1,Flat_10%,477,0.32584889238948506,0.006074170900724374,7.503388680557293e-05
LC-PFN,Flat,0.1,Flat_10%,1241,0.2005107467994094,0.004002188798040152,1.60192976181861e-05
MMF4,Flat,0.1,Flat_10%,1241,0.0009345813568543063,1.8691452450256204e-05,3.493703947001887e-10
WBL4,Flat,0.1,Flat_10%,1241,0.0006738939874127005,1.3477788922244827e-05,1.8165079423258542e-10
POW4,Flat,0.1,Flat_10%,1241,0.0008809526910229454,1.7618898606297506e-05,3.104255880989923e-10
