Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,Flat,0.1,Flat_10%,1113,0.2401737030595541,0.004742858000099659,2.3880376829765737e-05
MMF4,Flat,0.1,Flat_10%,1113,0.025972265558122064,0.0005116144080791944,1.5044600019431003e-06
WBL4,Flat,0.1,Flat_10%,1113,0.02596693964078743,0.0005115094561785363,1.5044379274148456e-06
POW4,Flat,0.1,Flat_10%,1113,0.025967480057104125,0.0005115201055574802,1.5044344474283662e-06
LC-PFN,Flat,0.1,Flat_10%,1710,0.6535220891237259,0.010097022168338299,0.00010639106767484918
MMF4,Flat,0.1,Flat_10%,1710,4.094217767788248e-07,6.368783167509662e-09,4.173184032804779e-17
WBL4,Flat,0.1,Flat_10%,1710,0.0013435956975389818,2.0900677211129388e-05,4.661974961420638e-10
POW4,Flat,0.1,Flat_10%,1710,7.12555639280512e-06,1.1084199662743839e-07,1.2903201016501219e-14
LC-PFN,Flat,0.1,Flat_10%,296,0.08780291536822915,0.0012579560279846191,1.5826350363568054e-06
MMF4,Flat,0.1,Flat_10%,296,3.896288017074204e-07,5.5871299631249375e-09,3.3874458132943276e-17
WBL4,Flat,0.1,Flat_10%,296,7.170166540508967e-05,1.0281756602648072e-06,1.1982027935376586e-12
POW4,Flat,0.1,Flat_10%,296,1.689035880433949e-06,2.4220137588848446e-08,6.244274472053882e-16
LC-PFN,Flat,0.1,Flat_10%,1998,0.22200539242476225,0.004382128827273846,1.9216411601519212e-05
MMF4,Flat,0.1,Flat_10%,1998,8.96901630115181e-06,1.7664465834954512e-07,3.938984929906186e-14
WBL4,Flat,0.1,Flat_10%,1998,1.8122508253983367e-08,3.569226025845751e-10,1.2739374423574653e-19
POW4,Flat,0.1,Flat_10%,1998,4.34428121581833e-07,8.556057085051805e-09,7.320611284266519e-17
LC-PFN,Flat,0.1,Flat_10%,1162,7.998567819595337,0.054952479898929596,0.004026064183562994
