Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,Flat,0.1,Flat_10%,554,4.1369520127773285,0.027578037232160568,0.0007793983677402139
MMF4,Flat,0.1,Flat_10%,554,1.065468070890914,0.006823027864057858,9.228908960135301e-05
WBL4,Flat,0.1,Flat_10%,554,1.0653035750931552,0.00682199593519095,9.224428439323271e-05
POW4,Flat,0.1,Flat_10%,554,1.065467760114283,0.006823025914861656,9.22890281777509e-05
LC-PFN,Flat,0.1,Flat_10%,126,0.20201236475259066,0.0037786385510116816,2.2676827938994393e-05
MMF4,Flat,0.1,Flat_10%,126,1.4612955322058765,0.028010851342735506,0.0012631147271419518
WBL4,Flat,0.1,Flat_10%,126,0.1409589941845046,0.0026341201379976647,1.2107094002923317e-05
POW4,Flat,0.1,Flat_10%,126,0.14153623110172675,0.0026449258264133945,1.219804200356452e-05
LC-PFN,Flat,0.1,Flat_10%,223,0.4077913239598274,0.007143408991396427,5.755059828516096e-05
MMF4,Flat,0.1,Flat_10%,223,0.5024064637079457,0.008810326095004248,9.058238512181765e-05
WBL4,Flat,0.1,Flat_10%,223,0.30273585645878515,0.0052958152957611054,3.3487836517174445e-05
POW4,Flat,0.1,Flat_10%,223,1.0364677633755575,0.018333070021234753,0.0004304261627292555
LC-PFN,Flat,0.1,Flat_10%,2247,0.1483177882619202,0.0029170759953558445,8.513951797795016e-06
MMF4,Flat,0.1,Flat_10%,2247,1.3090125610319528e-05,2.570710989973466e-07,8.347664177185798e-14
WBL4,Flat,0.1,Flat_10%,2247,8.276010415558e-10,1.6252887924395054e-11,2.6415636588294657e-22
POW4,Flat,0.1,Flat_10%,2247,2.9122127413001326e-08,5.719164779441947e-10,3.2708845774409525e-19
LC-PFN,Flat,0.1,Flat_10%,1209,0.49359695985913277,0.009238825179636478,0.00011209962394786999
MMF4,Flat,0.1,Flat_10%,1209,2.0142601012043686,0.03624038640188375,0.0023056360667057796
WBL4,Flat,0.1,Flat_10%,1209,0.25552448512647263,0.004750030145322338,3.108389826219146e-05
POW4,Flat,0.1,Flat_10%,1209,0.26594854741900953,0.00494310497267618,3.311048277446561e-05
LC-PFN,Flat,0.1,Flat_10%,2161,0.42875022627413273,0.004292736761271954,2.2379465008270927e-05
MMF4,Flat,0.1,Flat_10%,2161,0.4707775643949806,0.004707775519170023,3.3625297771291935e-05
WBL4,Flat,0.1,Flat_10%,2161,0.47241283401910283,0.004724245967805241,3.3800788023077356e-05
POW4,Flat,0.1,Flat_10%,2161,0.47077933113517084,0.004707793319279217,3.362709978141148e-05
LC-PFN,Flat,0.1,Flat_10%,380,0.05115497624501586,0.0010167956352233887,1.5796697425685124e-06
MMF4,Flat,0.1,Flat_10%,380,0.07607612652062382,0.0015110095961569092,2.7582723929167435e-06
WBL4,Flat,0.1,Flat_10%,380,0.07607234010039328,0.001510934459849267,2.7579171459829327e-06
POW4,Flat,0.1,Flat_10%,380,0.07607233759358312,0.0015109344101050582,2.7579169042394725e-06
LC-PFN,Flat,0.1,Flat_10%,2229,0.1483177882619202,0.0029170759953558445,8.513951797795016e-06
MMF4,Flat,0.1,Flat_10%,2229,1.3090125610319528e-05,2.570710989973466e-07,8.347664177185798e-14
WBL4,Flat,0.1,Flat_10%,2229,8.276010415558e-10,1.6252887924395054e-11,2.6415636588294657e-22
POW4,Flat,0.1,Flat_10%,2229,2.9122127413001326e-08,5.719164779441947e-10,3.2708845774409525e-19
LC-PFN,Flat,0.1,Flat_10%,1882,0.1166005153208971,0.002147570252418518,1.0465205377840903e-05
MMF4,Flat,0.1,Flat_10%,1882,0.03378677925672297,0.0006250551168905487,6.250130411470481e-06
WBL4,Flat,0.1,Flat_10%,1882,0.03378379111251553,0.0006250001348489104,6.250000168561166e-06
POW4,Flat,0.1,Flat_10%,1882,0.03380580861592762,0.0006254052547601668,6.248432352715356e-06
LC-PFN,Flat,0.1,Flat_10%,1350,0.7047852501273155,0.012353690341114998,0.00020913308253511786
MMF4,Flat,0.1,Flat_10%,1350,4.445082698687072,0.0745100730030289,0.006543971532064184
WBL4,Flat,0.1,Flat_10%,1350,0.6181758467510359,0.010898633501794671,0.00019280061186970678
POW4,Flat,0.1,Flat_10%,1350,0.6181758448668675,0.010898633468242104,0.0001928006109379125
LC-PFN,Flat,0.1,Flat_10%,1907,0.21344604901969433,0.0038502290844917297,1.4824263416812755e-05
MMF4,Flat,0.1,Flat_10%,1907,2.9245485609405916e-06,5.286683745289733e-08,3.4670666261893545e-15
WBL4,Flat,0.1,Flat_10%,1907,3.979058217828075e-09,7.192912931941464e-11,5.173799644649075e-21
POW4,Flat,0.1,Flat_10%,1907,8.44396708457705e-06,1.5264095996891935e-07,2.985756636922874e-14
LC-PFN,Flat,0.1,Flat_10%,1630,0.10344121837988496,0.0018594276625663042,4.492564130487153e-06
MMF4,Flat,0.1,Flat_10%,1630,0.024871255373334157,0.00044628830633694163,1.234243485116345e-06
WBL4,Flat,0.1,Flat_10%,1630,0.024868985962441397,0.00044624752142333743,1.2343189262559168e-06
POW4,Flat,0.1,Flat_10%,1630,0.02502535672948239,0.0004490577623535064,1.237481616542459e-06
LC-PFN,Flat,0.1,Flat_10%,1928,0.3517058212310076,0.006003435701131821,5.222539039095864e-05
MMF4,Flat,0.1,Flat_10%,1928,0.2598019882839855,0.004444271094982763,3.0030116698937743e-05
WBL4,Flat,0.1,Flat_10%,1928,0.25981208940027634,0.004444444388243629,3.003275284315217e-05
POW4,Flat,0.1,Flat_10%,1928,0.2598161645081352,0.004444514299935361,3.0033471414742913e-05
LC-PFN,Flat,0.1,Flat_10%,304,0.5501990672200918,0.010819780640304089,0.0001352199469693005
MMF4,Flat,0.1,Flat_10%,304,0.18164021595677782,0.0035519500249593865,1.7749293300730988e-05
WBL4,Flat,0.1,Flat_10%,304,0.19240193139804962,0.0037623917326194724,1.8639157785931075e-05
POW4,Flat,0.1,Flat_10%,304,0.27786930434081536,0.00543041732953591,3.455764748733189e-05
LC-PFN,Flat,0.1,Flat_10%,1960,0.7020274642854929,0.013685778714716434,0.00023074791533872485
MMF4,Flat,0.1,Flat_10%,1960,2.622679688286401,0.05007319491515834,0.0026442238241048536
WBL4,Flat,0.1,Flat_10%,1960,1.7293353904783573,0.03332921512175484,0.001239646791538395
POW4,Flat,0.1,Flat_10%,1960,1.7293358196924475,0.03332922323720681,0.0012396473325017503
LC-PFN,Flat,0.1,Flat_10%,448,8.51137563586235,0.09599746018648148,0.011346802115440369
MMF4,Flat,0.1,Flat_10%,448,2.554702686746425,0.02658274180035561,0.000747125975526989
WBL4,Flat,0.1,Flat_10%,448,2.6954257995853097,0.028089832761967005,0.000829522554271653
POW4,Flat,0.1,Flat_10%,448,2.6954257494938747,0.028089832224725903,0.0008295225238725237
LC-PFN,Flat,0.1,Flat_10%,927,1.797301135957241,0.031133705750107765,0.0011003146646544337
MMF4,Flat,0.1,Flat_10%,927,34.41089087837517,0.3945032513553347,0.23183875497346904
WBL4,Flat,0.1,Flat_10%,927,1.1666366181993213,0.020864374611390575,0.0004467271310227804
POW4,Flat,0.1,Flat_10%,927,1.1666369998776465,0.02086438152010783,0.00044672741931495803
LC-PFN,Flat,0.1,Flat_10%,639,1.7927756533026695,0.0035640615969896317,2.037034028035123e-05
